Diseases,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
 Musculoskeletal diseases,2.5,0.4,1.3,1.5,3,6.1,24.2,3.4,0.1,0.3,0.4,1.7,4,17,1.7,1.8,0.1,0.7,1.1,2.4,6,24.5,2.4,0.1,0.3,0.5,1.5,4.2,14.8,1.2
 Rheumatoid arthritis,0.8,0.1,0.1,0.2,1.1,2.8,9.5,1.1,0,0,0.1,0.5,1.6,5.8,0.5,0.7,0,0.1,0.2,0.9,2.8,9.3,0.8,0,0.1,0.2,0.6,2,6.2,0.5
 Osteoarthritis,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.2,0
 Gout,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
 Back and neck pain,0,0,0,0,0,0,0.5,0,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.1,0.5,0
 Other musculoskeletal disorders,1.6,0.4,1.2,1.2,1.9,3.2,13.7,2.2,0.1,0.2,0.3,1.1,2.4,10.3,1.1,1.1,0.1,0.6,0.9,1.5,3.1,14.3,1.6,0.1,0.2,0.3,0.9,2.1,7.8,0.7
 Congenital anomalies,4.1,2.4,1.7,0.8,0.8,1.1,2.2,4.1,1.8,1.2,0.4,0.6,0.9,1.9,4.1,5,2.6,2.1,0.8,0.6,0.7,1.8,4.7,2.7,1.7,0.6,0.4,0.7,1.7,5.3
 Neural tube defects,0.3,0.1,0,0,0,0,0.1,0.3,0.1,0,0,0,0,0.1,0.3,0.6,0.1,0.1,0,0,0,0.1,0.5,0.1,0.1,0,0,0,0.1,0.8
 Cleft lip and cleft palate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
 Down's syndrome,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0.1
 Congenital heart anomalies,2.6,1.8,1.4,0.6,0.4,0.4,0.9,2.6,1.3,1,0.3,0.3,0.3,0.7,2.6,3,1.9,1.7,0.6,0.3,0.3,0.9,2.8,2,1.4,0.4,0.2,0.3,0.7,3.2
 Other chromosomal anomalies,0.2,0.1,0,0,0,0.1,0,0.3,0.1,0,0,0,0.1,0,0.2,0.3,0.1,0.1,0,0,0,0,0.3,0.1,0,0,0,0,0,0.3
 Other congenital anomalies,0.8,0.3,0.1,0.1,0.3,0.5,1.1,0.9,0.3,0.1,0.1,0.2,0.4,1,0.8,0.9,0.4,0.1,0.1,0.2,0.3,0.8,0.9,0.4,0.2,0.1,0.1,0.3,0.9,0.9
 Oral conditions,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Dental caries,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Periodontal disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Edentulism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Injuries,54.9,11.1,21.7,27.2,43.2,71.9,226.5,43.8,17.4,44.8,53.3,83.3,118.2,261,65.4,65.1,19.6,39.4,41,50.5,75.8,211.9,50.9,31.3,72.3,76.3,92,127.4,256.2,78.6
 Unintentional injuries,42.9,10.2,14.6,18.6,29.9,50.2,186.6,33.2,16.5,35.7,41.8,65,90.5,205.4,52.1,44.7,17.5,19.2,19.8,25.8,41.1,147.3,31.2,29.3,53,54.4,58.9,78.5,174.1,57.7
 Road injury,18.3,3.1,8.8,10.1,15,22.3,35.7,11.9,4.1,22.7,25.2,32.2,39.3,61.1,24.3,14.7,3.9,7.6,7.9,9.7,14.1,24.6,8.4,5.9,24.9,25.2,22.8,27.3,43.6,20.7
 Poisonings,2.4,0.5,1.4,1.7,2.1,3.2,6.8,2.1,0.4,1.3,2.4,4.2,6.4,9.2,2.8,3.3,1.1,2.7,2.4,2.6,4,8.1,2.8,1,2.8,3.8,5.6,7.5,11.6,3.8
 Falls,7.7,0.6,1,1.7,3.5,8.1,71,7,1.1,2.4,4.6,11.4,17.7,61.4,8.3,5.8,0.9,1.2,1.7,3.4,7.4,54,4.9,1.5,3.6,5.5,9,14.5,47.4,6.7
" Fire, heat and hot substances",0.8,0.3,0.3,0.3,0.5,1.1,5,0.8,0.2,0.3,0.5,1,1.8,6.4,0.9,1.1,0.5,0.6,0.5,0.6,1.2,7.1,1,0.4,0.7,0.9,1.3,1.9,8.7,1.2
 Drowning,4.4,4,1.4,1.6,3.3,5.8,16.6,3.8,8.4,3.5,1.9,3.3,6.9,16.9,5.1,8.3,8.2,3.4,2.7,3.4,5.2,17.9,6.3,16,7.7,4,5.4,8.2,18.6,10.1
 Exposure to forces of nature,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Other unintentional injuries,9.1,1.6,1.8,3.1,5.5,9.6,51.3,7.5,2.1,5.4,7.1,12.8,18.2,50.3,10.6,11.5,2.8,3.7,4.7,6.1,9.1,35.5,7.7,4.4,13.3,15,14.8,19.1,44.2,15.1
 Intentional injuries,12,0.9,7,8.6,13.3,21.8,39.9,10.6,0.9,9.1,11.5,18.3,27.7,55.5,13.3,20.3,2.1,20.2,21.2,24.7,34.7,64.6,19.7,2,19.3,22,33,48.8,82,20.9
 Self-harm,9.9,0.5,5.8,7.4,12.3,20.7,38.3,9.5,0.5,5.1,7.5,15.1,25.3,53.7,10.3,16.9,1.3,18.2,19.2,23.5,32.9,62.7,17.9,1.1,11.8,15.1,28.7,45.4,78.8,16
 Interpersonal violence,1.9,0.4,1.3,1.1,0.9,1,1.5,1.1,0.4,3.5,3.6,3,2.1,1.4,2.7,3,0.7,1.9,1.9,1.1,1.7,1.9,1.7,0.7,6.3,6,3.8,3.1,2.9,4.3
 Collective violence and legal intervention,0.2,0,0,0,0.1,0.1,0.2,0.1,0,0.5,0.4,0.3,0.3,0.5,0.3,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,1.2,0.9,0.4,0.3,0.3,0.7
